msg_id,tag,agg_labels,db_labels,km_labels
<20050616172558.24074633CF@example.com>,Phish,9,-1,68
<200502211804.NAA02450@mail.example.com>,Phish,14,-1,17
<200503031932.OAA15546@mail.example.com>,Phish,14,-1,17
<E1DCFRG-00047v-RP@server973.lollo.net>,Phish,4,-1,26
<E1DCFRG-00047r-PQ@server973.lollo.net>,Phish,4,-1,26
<200506281605.j5SG5IpT077759@dedicated.choopa.com>,Phish,15,-1,2
<200506291723.NAA31549@mail.example.com>,Phish,15,-1,2
<E1DnNFF-000614-4w@saturn.yourhostserver.com>,Phish,16,-1,49
<E1Di3Gn-0007Br-Bk@krypton.showeb.nl>,Phish,16,-1,58
<20050630203849.86BD016401@mail.example.com>,Phish,9,-1,68
<200507020500.BAA12022@mail.example.com>,Phish,35,-1,0
<200507030517.BAA16849@mail.example.com>,Phish,4,-1,34
<20050705033511.092C617521D@baracus.dreamhost.com>,Phish,18,-1,21
<200507061621.MAA00139@mail.example.com>,Phish,34,-1,45
<200506301936.PAA05324@mail.example.com>,Phish,9,-1,24
<200506302102.j5UL2UXt029966@looking-glass.singtel.com.hk>,Phish,14,-1,17
<E1DoOpM-0001YW-5e@hummer.mediajuice.net>,Phish,14,-1,17
<ATPPFKSBZBPMXBGNFWWW@verizon.net>,Phish,34,-1,45
<ATPPFKSBZBPMXBGNFWWW@verizon.net>,Phish,34,-1,45
<1120419213.233486.qmail@lasallebank.com>,Phish,0,-1,41
<1120419213.233487.qmail@lasallebank.com>,Phish,0,-1,41
<456ad26ba15fccba83f9f42dc088a989@server1.webflashweb.com>,Phish,18,0,21
<ecf57bf94632f7f66df0cd977fefcc28@server1.webflashweb.com>,Phish,18,0,21
<7210381120741406@pool-71-110-105-219.lsanca.dsl-w.verizon.net>,Phish,21,-1,54
<1120779411.3090.qmail@lasallebank.com>,Phish,0,-1,41
<20050708021156.34CE6164A9@mail.example.com>,Phish,9,-1,68
<200507080109.VAA07188@mail.example.com>,Phish,9,-1,24
<200507100233.WAA17368@mail.example.com>,Phish,4,-1,34
<MZOOGXXLCSXOVXGKRCSU@charter.net>,Phish,4,-1,26
<200507141217.IAA05588@mail.example.com>,Phish,15,-1,21
<NSLBBLLQBUGATMDJMCTB@hotmail.com>,Phish,4,-1,26
<200507152331.TAA13388@mail.example.com>,Phish,35,-1,0
<200507161314.JAA15745@mail.example.com>,Phish,35,-1,0
<200507170630.j6H6UKWq006487@ns.cwplus.com>,Phish,4,-1,20
<E1Dt7E9-0002QC-P0@saturn.yourhostserver.com>,Phish,16,-1,49
<200507161726.NAA16630@mail.example.com>,Phish,9,-1,68
<20050720163959.73EC61647C@mail.example.com>,Phish,9,-1,68
<200507202214.SAA04686@mail.example.com>,Phish,35,-1,0
<0044801187.20050720113441@southtrust.com>,Phish,3,-1,37
<200507201537.LAA02978@mail.example.com>,Phish,9,-1,24
<200507211622.MAA08859@mail.example.com>,Phish,4,-1,25
<200507212219.j6LMJW424720@hyps.mysch.net>,Phish,14,-1,17
<200507231005.j6NA5JMi009389@naweekly.com.tw>,Phish,18,-1,21
<IDZUOOOQMMXNGDSBKVXW@yahoo.com>,Phish,4,-1,26
<1122151120.18625.qmail@bankofthewest.com>,Phish,4,-1,26
<GPTHKILUTGDWHUQOGPDBCMRK@charter.net>,Phish,4,-1,26
<20050724063554.E892147EDF@eggis.homeip.net>,Phish,14,-1,17
<200507250002.UAA23954@mail.example.com>,Phish,35,-1,0
<20050724105027.3B4F71CAB1@clust07-www04.powweb.com>,Phish,16,-1,49
<200507241605.j6OG564E002142@humerus.ctrl.ucla.edu>,Phish,34,-1,45
<GKLNJIZSOFEOJYAEAEUOYRP@hotmail.com>,Phish,4,-1,34
<E1DwtKM-0008E0-4E@alpha.whbdns.com>,Phish,4,-1,26
<DAHIGJHUQNNIXAXZLRIVB@yahoo.com>,Phish,16,-1,58
<200508100530.BAA00183@mail.example.com>,Phish,15,-1,2
<20050810065135.685F9621C9E@mail.example.com>,Phish,9,-1,68
<QSCBOPPRXLVJHTFBHQCMY@earthlink.net>,Phish,4,-1,25
<001101c2c9fb$9ae34a09$8ead4acb@deutschebanc.de>,Phish,21,-1,54
<000001c2c9fb$182e190c$0383524b@deutschebanc.de>,Phish,21,-1,54
<000001c2c9fc$a7556ed5$3d69a84e@deutschebanc.de>,Phish,21,-1,54
<010001c2c9fc$ac9415ca$9e211a0a@deutschebanc.de>,Phish,21,-1,54
<20050729011538.2ABA8487C2@linux.local>,Phish,14,-1,17
<E1Dzf3A-0003m3-PP@matrix.pilotservers.com>,Phish,16,-1,58
<DBKRXTPTXYBJVSYRPNYQGG@aol.com>,Phish,16,-1,41
<20050806192810.26882.qmail@plesk.ecure.nl>,Phish,14,-1,17
<E1E1YzY-0001Qs-5q@franz.inode.at>,Phish,15,-1,49
<200508090330.j793U0928052@pluto.conawaybrown.com>,Phish,16,-1,21
<!~!17B2F081c3858$508b8$42F83E8C@visa.com>,Phish,4,-1,34
<200508100651.CAA00417@mail.example.com>,Phish,9,-1,68
<1123670268.51593.qmail@bankofamerica.com>,Phish,14,-1,17
